listing_id,source_platform,source_url,captured_at,raw_title,raw_description,MSRP_price,original_price,listed_price,stated_condition,seller_reputation,image_urls,notes
L011,Poshmark,https://poshmark.com/listing/Sea-New-York-Patrizia-lace-blouse-6a72a61a88849aecef7a61d2,2026-09-09,Sea New York Patrizia lace blouse,"Size
2
Condition
Good
Color
White
Category
Women
Tops
Blouses
Brand
Sea
Style Tags
Victorian
Lace
Ruffle
Sea New York Patrizia lace blouse. White lace long sleeve top. Size 2. Open back. In great condition. Shell: 100% cotton. Lining: 100% cotton. Intricate Victorian-inspired cutwork, a high mock neck, and dramatic ruffled shoulder details.
Bust:32”
Front length: 23”
Waist: 26”",,,185.00,Good,Posh Ambassador,https://di2ponv0v5otw.cloudfront.net/posts/2026/08/04/6a72a61a88849aecef7a61d2/l_wp_6a72a6812326c8c4ede74c68.webp|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/04/6a72a61a88849aecef7a61d2/l_wp_6a72a681dbd8f0c6da397a59.webp|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/04/6a72a61a88849aecef7a61d2/l_wp_6a72a6c92981afa0cb1b2fe3.webp|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/04/6a72a61a88849aecef7a61d2/l_wp_6a72a6ca49e17bc726b3c2b1.webp|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/04/6a72a61a88849aecef7a61d2/l_wp_6a72a683a9a4483d1ba1f040.webp|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/04/6a72a61a88849aecef7a61d2/l_wp_6a72a68632f9348c3f7c175b.webp|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/04/6a72a61a88849aecef7a61d2/l_wp_6a72a688f59cc4a6668d597c.webp|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/04/6a72a61a88849aecef7a61d2/l_wp_6a72a6c724d2e7ac417f3856.webp|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/04/6a72a61a88849aecef7a61d2/l_wp_6a72a6c82c9e4422d82108eb.webp,poshmark gives an ambassador role to certain sellers that provides unqiue benefits -- on listings their denoted with a gold star icon next to their handle
L012,ThreadUp,https://www.thredup.com/product/women-polyester-abercrombie-and-fitch-green-jacket/235682684?query_id=1210709939174850560&result_id=1210709939673972736,2026-09-09,"Abercrombie & Fitch
Size L
Jacket","Condition
excellent
Practically new: shows no obvious signs of being worn or washed. Our standards

Item details
#235682684
83% polyester, 17% cotton
Trenchcoat, green
Size & fit
Size L Size guide
Item measurements are not available. See mannequin measurements
Eco impact
Buying outerwear secondhand and wearing it 10 times saves the equivalent of:",,,34.99,Excellent,,https://cf-assets-thredup.thredup.com/assets/961925877/retina.jpg|https://cf-assets-thredup.thredup.com/assets/961925914/retina.jpg|https://cf-assets-thredup.thredup.com/assets/961925965/retina.jpg|https://cf-assets-thredup.thredup.com/assets/961925943/retina.jpg|https://cf-assets-thredup.thredup.com/assets/961892949/retina.jpg|https://cf-assets-thredup.thredup.com/assets/961892950/retina.jpg|https://cf-assets-thredup.thredup.com/assets/5408/retina.jpg,"like the realreal, threadup does the listings themselves so they're all standardized; they also include mannekin measurements in images & 360 view"
L013,eBay,https://www.ebay.com/itm/366655437752?itmmeta=01M23GE2Z772ZYZCRAX30TRWQS&hash=item555e5dfbb8:g:0dwAAeSwgCRqdAv4&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4Luph%2BFt1GrR0V%2B0YzaTlk49I838%2BQZFpGhvNbI6wYnT9Y65mO8zcmUYiIVYmtmxk5Iph5CUDdH%2B8sOGB8Op0S4NEaQfg7MiVeP9czVqDsyzlDYOANf4yI7%2Fv1oYBf%2FVr8Ky%2BxKkUzBSmtRgsWd5qG13%2BPJxV9Dt64JFQXBk5xqkvG5SLvk2U48lI5V9ZV3IoK7IK2v3ZypF6POG%2BRg3xy6zo%2B63UjmOGEu6Nl4%2B1NEYkt2D4b81DxkMXrqsmGcqgJz%2BwCIvOjIFTkcQ2xgH2anbW%7Ctkp%3ABk9SR-6vuPCQaA&var=636319003889,2026-09-09,Realisation The Cora In Mirage Dress,"Condition
New without tags
Seller Notes
“New without tags/Never worn”
Neckline
Halter
Closure
Pullover
Occasion
Business, Casual, Formal, Holy Communion, Party/Cocktail, Travel, Wedding, Workwear
Fabric Type
Woven
Accents
None
Dress Length
Long
Vintage
No
Personalize
No
Department
Women
Style
Bodycon, Sundress
Features
Lightweight
Season
Fall, Spring, Summer
Handmade
No
Pattern
Striped
Sleeve Length
Sleeveless
Character
Barbie, Belle, Daisy, Fairy, Jazz
Garment Care
Dry Clean Only
Color
Multicolor
Material
100% Silk
Brand
Realisation Par
Size Type
Regular
Theme
Art, Beach, Bohemian, Christmas, City, Classic, Clubwear, College, Colorful, Designer, Flower, Hawaiian, Hippie, Holiday, Italian, Korean, London, Movie, Nature
Country/Region of Manufacture
China
Country of Origin
China
Realisation Par The Cora Mirage Dress
 
Brand new without tag
 
Size  :   XS, S, M, L
 
Material  :  100%Silk
 
Measurements ( CM )
 
XS  :  Bust 70  Waist 64  Length 153
 
S    :  Bust 74  Waist 68  Length 154
 
M   :  Bust 78  Waist 72  Length 155
 
L    :  Bust 82  Waist 76  Length 156
 
 
 
Details  :  Cowl neck midi dress. Sheer silk georgette with separate mini under slip. 
 
Non adjustable straps.
 
 
 
 
 
Please do not hesitate to contact me for available size or color. Any problem with goods please feel free 
 
to contact before leaving negative feedback. Thank you for your support.",,,169.00,"New without tags
Never worn",99.7%,https://i.ebayimg.com/images/g/0dwAAeSwgCRqdAv4/s-l1600.webp|https://i.ebayimg.com/images/g/M~kAAeSwEbBqdAv3/s-l1600.webp|https://i.ebayimg.com/images/g/B30AAeSw6XlqdAv4/s-l1600.webp|https://i.ebayimg.com/images/g/KN0AAeSwihxqdAv4/s-l1600.webp|https://i.ebayimg.com/images/g/qd8AAeSwqXxqeo-C/s-l1600.webp|https://i.ebayimg.com/images/g/EXwAAeSw0Kxqeo-D/s-l1600.webp|https://i.ebayimg.com/images/g/R8gAAeSwn~xqeo-D/s-l1600.webp|https://i.ebayimg.com/images/g/dMUAAeSwxxdqeo-D/s-l1600.webp|https://i.ebayimg.com/images/g/f0IAAeSwhyNqeo-L/s-l1600.webp|,"ebays sellers have % ratings to show how positive buyers' experiences with them were previously; the % is based on 4 critera = accurate description, reasonable shipping costs, shipping speed, communication and those scores are averaged over the last 12 months to create the feedback percentage"
L014,ThreadUp,https://www.thredup.com/product/women-cotton-asos-black-active-pants/235769126?query_id=1210709939174850560&result_id=1210709939673972736,2026-09-09,"ASOS
Size 26 waist
Active pants","Condition
very good
No major flaws. Inspection shows: minor wear on fabric. Our standards

Item details
#235769126
73% cotton, 25% polyester, 2% elastane
Heart print, black, skinny leg cut, high rise waist
Size & fit
Size 26 waist Size guide
This brand uses a non-standard sizing scale. Refer to their size chart for the best fit.
Measured at 27.75"" inseam, 25"" waist, 13.25"" rise (approx.) Details
Eco impact
Buying active pants secondhand and wearing them 10 times saves the equivalent of:


138.78
glasses of drinking water

127.71
hours of an LED lightbulb

0.74
miles of driving emissions",48.00,,23.99,Very Good,,https://cf-assets-thredup.thredup.com/assets/962637165/retina.jpg|https://cf-assets-thredup.thredup.com/assets/962637209/retina.jpg|https://cf-assets-thredup.thredup.com/assets/962637267/retina.jpg|https://cf-assets-thredup.thredup.com/assets/962637240/retina.jpg|https://cf-assets-thredup.thredup.com/assets/962422640/retina.jpg|https://cf-assets-thredup.thredup.com/assets/5412/retina.jpg,threadup provides great measurement images to increase buying confidence 
L015,eBay,https://www.ebay.com/itm/407182972885?itmmeta=01M23H0GMA401BW36583RXQNMY&hash=item5ecdff17d5:g:46IAAeSwJm1qlbVA&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4LurU58hgfrIP%2B3Wv9LmxYJdTH4j056tNsMfsa499y0yclkr7I4mSAiLH4lnVm5KSEupVo0F6uYJQ6BECz812Mg02Fz456xOi%2BRkMjWQmtH%2FsiyVGMtLGRD5z5tbuj9%2BdraKEUt2351i%2FKNs%2FoVyJyj5DSAyIZmk%2BxTfub9chpVF4w9C5jNiPjn6cnXIxkckN5QsoXZ2kHjxgTo0bSbEm6F3snAoPRA8lnA6zUBEfYrSs9gE9%2FSNyF8xIdZdSmAvvP7RxYwb17D%2BNGxgOoNwqnjk7%7Ctkp%3ABk9SR7iKgvGQaA&var=677353719957,2026-09-09,The Endery Bauhaus Short Sleeve Sweater Tee in Rhodolite,"Condition
New with tags: This item is brand new and has never been worn. It still has the original tags and/or original packaging. See all condition definitionsopens in a new window or tab
Brand
The Endery
Size Type
The Endery Bauhaus Short Sleeve Sweater Tee in Rhodolite
Color
ENDSS25/STABAUHA-CO4-N-XXL
Department
Sweaters
Type
Sweaters
Country of Origin
China
The Endery's signature Bauhaus Tee—crafted from deadstock Pima cotton and designed with a bold jacquard knit. Lightweight, breathable, and easy to style, it’s a wardrobe essential.

• Slightly cropped and boxy body

• 100% Cotton

• Artisan made in Peru with Fair Trade practices to maintain ethical and responsible integrity

• Designed for a relaxed, oversized fit. Stick with your usual size for the intended look, size up for an even roomier fit, or size down for a tighter fit.",,168.00,142.80,New with tags,99.8%,https://i.ebayimg.com/images/g/46IAAeSwJm1qlbVA/s-l1600.webp|https://i.ebayimg.com/images/g/0HoAAeSw69pqlbVA/s-l1600.webp|https://i.ebayimg.com/images/g/eJkAAeSwGDJqlbVA/s-l1600.webp|https://i.ebayimg.com/images/g/RtAAAeSwA-tqlbVA/s-l1600.webp|https://i.ebayimg.com/images/g/fqYAAeSwq2JqlbVA/s-l1600.webp|https://i.ebayimg.com/images/g/eKsAAeSw6o5qlbVA/s-l1600.webp|https://i.ebayimg.com/images/g/0CwAAeSwZERqlbU~/s-l1600.webp,
L016,The RealReal,https://www.therealreal.com/products/women/shoes/pumps/fendi-zucca-ff-logo-leather-slingback-pumps-w5nxs,2026-09-09,Fendi Zucca FF Logo Leather Slingback Pumps,"Fendi Leather Slingback Pumps
Green
Animal Print
Zucca FF Logo
Semi-Pointed Toes
Straps & Buckle Closure at Sides
Includes Box & Dust Bag
Fit: Pumps by Fendi typically run small, consider taking a half size up.
Heels
3""
Platforms
0.25""
Gender
Women
Item #
FEN449595",890.00,495.00,470.25,Excellent,,https://product-images.therealreal.com/FEN449595_1_enlarged.jpg?auto=webp&width=1920|https://product-images.therealreal.com/FEN449595_2_enlarged.jpg?auto=webp&width=1920|https://product-images.therealreal.com/FEN449595_3_enlarged.jpg?auto=webp&width=1920|https://product-images.therealreal.com/FEN449595_4_enlarged.jpg?auto=webp&width=1920|https://product-images.therealreal.com/FEN449595_5_enlarged.jpg?auto=webp&width=1920,there were more than 3 photos for this shoe's listing
L017,The RealReal,https://www.therealreal.com/products/women/shoes/flats/soeur-leather-flats-wgouh,2026-09-09,"Soeur

Leather Flats

Women's Size: 11","Soeur Leather Flats
Green
Semi-Pointed Toes
Includes Box & Dust Bag
Unfortunately, due to restrictions, this item may not be eligible for shipping in all areas.
Platforms
0.5""
Gender
Women
Item #
WSEOU23785",,,295.00,Very Good,,https://product-images.therealreal.com/WSEOU23785_1_enlarged.jpg?auto=webp&width=1920|https://product-images.therealreal.com/WSEOU23785_2_enlarged.jpg?auto=webp&width=1920|https://product-images.therealreal.com/WSEOU23785_3_enlarged.jpg?auto=webp&width=1920|https://product-images.therealreal.com/WSEOU23785_4_enlarged.jpg?auto=webp&width=1920|https://product-images.therealreal.com/WSEOU23785_5_enlarged.jpg?auto=webp&width=1920,
L018,The RealReal,https://www.therealreal.com/products/women/shoes/sneakers/new-balance-x-miu-miu-530-sl-athletic-sneakers-wgbjg,2026-09-09,"New Balance x Miu Miu

530 SL Athletic Sneakers

Women's Size: 7.5","New Balance x Miu Miu 530 SL Low Top Athletic Sneakers
Brown Leather
Round-Toes
Lace-Up Closure at Uppers
Platforms
0.5""
Gender
Women
Item #
WNBMM20839","1,490.00",,"1,195.00",Good,,https://product-images.therealreal.com/WNBMM20839_1_enlarged.jpg?auto=webp&width=1920|https://product-images.therealreal.com/WNBMM20839_2_enlarged.jpg?auto=webp&width=1920|https://product-images.therealreal.com/WNBMM20839_3_enlarged.jpg?auto=webp&width=1920|https://product-images.therealreal.com/WNBMM20839_4_enlarged.jpg?auto=webp&width=1920|https://product-images.therealreal.com/WNBMM20839_5_enlarged.jpg?auto=webp&width=1920,
L019,Poshmark,https://poshmark.com/listing/Laredo-Womens-Brown-and-Blue-Heeled-Boots-Sz-65-6a86fb26d47f7e9017469a1d,2026-09-09,Laredo Women's Brown and Blue Heeled Boots Sz 6.5,"Size
6.5 M
Color
Brown
Blue
Category
Women
Shoes
Heeled Boots
Brand
Laredo
Stylish heeled boots with brown leather and blue embroidered design. Perfect for a chic look.
Women’s Laredo, leather upper cowboy boots
In good condition, some marking on the leather see photos see all photos
Heels and inside in good shape
Ships from non-smoking non-pet household
Size 6 1/2
Open to reasonable offers !",,,71.00,Good,Posh Ambassador II,https://di2ponv0v5otw.cloudfront.net/posts/2026/08/20/6a86fb26d47f7e9017469a1d/l_wp_6a86fb26d47f7e9017469a1e.webp|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/20/6a86fb26d47f7e9017469a1d/l_wp_6a86fb27d47f7e9017469a6c.webp|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/20/6a86fb26d47f7e9017469a1d/l_wp_6a86fb28d47f7e9017469ab0.webp|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/20/6a86fb26d47f7e9017469a1d/l_wp_6a86fb28d47f7e9017469ae2.webp|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/20/6a86fb26d47f7e9017469a1d/l_wp_6a86fb28d47f7e9017469b38.webp|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/20/6a86fb26d47f7e9017469a1d/l_wp_6a86fb29d47f7e9017469b75.webp|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/20/6a86fb26d47f7e9017469a1d/l_wp_6a86fb29d47f7e9017469bc9.webp|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/20/6a86fb26d47f7e9017469a1d/l_wp_6a86fb2ad47f7e9017469c28.webp|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/20/6a86fb26d47f7e9017469a1d/l_wp_6a86fb2bd47f7e9017469c6b.webp,the condition was informally listed in the description self-described by the seller
L020,Poshmark,https://poshmark.com/listing/Merrell-Shiloh-Peak-Boots-Womens-8-Black-Leather-Moto-Buckle-Mid-Calf-J69924-6a85e82ffa6ace5debda8d0b,2026-09-09,Merrell Shiloh Peak Boots Women's 8 Black Leather Moto Buckle Mid Calf,"Size
8
Condition
Good
Color
Black
Category
Women
Shoes
Lace Up Boots
Brand
Merrell
Merrell Shiloh Peak Boots Women's 8 Black Leather Moto Bike Buckle Harness Mid Calf J69924

Product Detail

* Brand: Merrell
* Department: Women's
* Color: Black
* Type: Shoes

- Pre-owned Shoes

- Shipped with USPS Mail.",,,64.00,Good,,https://di2ponv0v5otw.cloudfront.net/posts/2026/08/19/6a85e82ffa6ace5debda8d0b/l_wp_6a85e82f17a3c420edb6af5c.webp|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/19/6a85e82ffa6ace5debda8d0b/l_wp_6a85e830e625d29f173dee88.webp|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/19/6a85e82ffa6ace5debda8d0b/l_wp_6a85e82febb1a58b2b099842.webp|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/19/6a85e82ffa6ace5debda8d0b/l_wp_6a85e82f28951f1665bb8b87.webp|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/19/6a85e82ffa6ace5debda8d0b/l_wp_6a85e82f6c3583d693704871.webp|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/19/6a85e82ffa6ace5debda8d0b/l_wp_6a85e82f70333fe6bc9f0bd8.webp|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/19/6a85e82ffa6ace5debda8d0b/l_wp_6a85e830221dcbb9f3236c3f.webp|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/19/6a85e82ffa6ace5debda8d0b/l_wp_6a85e82f7e297bd883b838c9.webp|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/19/6a85e82ffa6ace5debda8d0b/l_wp_6a85e830e625d296e03dee83.webp|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/19/6a85e82ffa6ace5debda8d0b/l_wp_6a85e8308925d34f6616204b.webp|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/19/6a85e82ffa6ace5debda8d0b/l_wp_6a85e8304941b532fcdc3b6f.webp|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/19/6a85e82ffa6ace5debda8d0b/l_wp_6a85e830946da284831f8923.webp|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/19/6a85e82ffa6ace5debda8d0b/l_wp_6a85e82f13a64777d5539804.webp|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/19/6a85e82ffa6ace5debda8d0b/l_wp_6a85e8309709886bdba85fed.webp|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/19/6a85e82ffa6ace5debda8d0b/l_wp_6a85e830e912b35ce6022e18.webp,similarly all conditions are self-reported by sellers for poshmark and the peer-to-peer sites often have many more photos to assess the items then the sites that do listing for you like the realreal and threadup
L021,Poshmark,https://poshmark.com/listing/Stylish-Black-and-White-HighTop-Sneakers-67af00b3c4b73abcb21ae5cb,2026-09-09,Stylish Black and White High-Top Sneakers,"Size
6
Condition
New With Tags
Color
Black
Silver
Category
Women
Shoes
Sneakers
Brand
Gianni Bini
Style Tags
High Top Sneakers
Casual
Activewear
Trendy high-top sneakers with sparkling details. Black and silver design. Perfect for casual wear.",,118.00,32.00,New with tags,Posh Ambassador,https://di2ponv0v5otw.cloudfront.net/posts/2025/02/14/67af00b3c4b73abcb21ae5cb/l_wp_67af01640c0a3f295e4d4b7f.webp|https://di2ponv0v5otw.cloudfront.net/posts/2025/02/14/67af00b3c4b73abcb21ae5cb/l_wp_67af00b5ed3f4a12ff47b067.webp|https://di2ponv0v5otw.cloudfront.net/posts/2025/02/14/67af00b3c4b73abcb21ae5cb/l_wp_67af0164c9af8c30160a775a.webp|https://di2ponv0v5otw.cloudfront.net/posts/2025/02/14/67af00b3c4b73abcb21ae5cb/l_wp_67af016687aeb66eab9ff0dc.webp|https://di2ponv0v5otw.cloudfront.net/posts/2025/02/14/67af00b3c4b73abcb21ae5cb/l_wp_67af0169f9927c55bec044c0.webp|https://di2ponv0v5otw.cloudfront.net/posts/2025/02/14/67af00b3c4b73abcb21ae5cb/l_wp_67af016acf86b11865010fa2.webp|https://di2ponv0v5otw.cloudfront.net/posts/2025/02/14/67af00b3c4b73abcb21ae5cb/l_wp_67af016b6ccbb61cd53298ff.webp|https://di2ponv0v5otw.cloudfront.net/posts/2025/02/14/67af00b3c4b73abcb21ae5cb/l_wp_67af016cf9927c8ec1c044c9.webp|https://di2ponv0v5otw.cloudfront.net/posts/2025/02/14/67af00b3c4b73abcb21ae5cb/l_wp_67af016d20684715944ec998.webp|https://di2ponv0v5otw.cloudfront.net/posts/2025/02/14/67af00b3c4b73abcb21ae5cb/l_wp_67af016e2d829a98a00b5b8a.webp|https://di2ponv0v5otw.cloudfront.net/posts/2025/02/14/67af00b3c4b73abcb21ae5cb/l_wp_67af016e147b982f93a3bb9b.webp,this one had a red star next to it vs. the gold star which I see indicates a difference in posh ambassador levels -- there is the red just post ambassador and the gold posh ambassador II
L022,Vinted,https://www.vinted.com/items/9916194184-mary-jane-shoes?referrer=catalog,2026-09-09,Mary Jane shoes,"Brand& Other Stories
Size
6.5
Condition
New with tags
Color
Cream
Uploaded
2 days ago
Cream converse dupes",,,17.50,New with tags,Frequent Uploads,https://images1.vinted.net/t/05_00cd4_eEiem3Boq3pLTBzsiQXaqq4x/f800/d3835915.webp?s=a9dcf7473fee07c16d4d2f286659c759db4ce2c0|https://images1.vinted.net/t/01_006c3_SRAfDNPWx9dQ3FPJWKRAarHo/f800/6035b2a8.webp?s=2d947d6fef1f60ba80971c4adcd5cc4ec974146e|https://images1.vinted.net/t/01_02575_x8e3Rmtb39GE1C87TgGoYgaL/f800/8e770348.webp?s=22170cd46d69f4f6c2493e029c410754b517b25a|https://images1.vinted.net/t/02_0186e_t2tVghUo3gWjuyXx643gvrXS/f800/d871a64b.webp?s=33a84323c8f8d2e0b60e37c724671200e0f7f1e0|https://images1.vinted.net/t/01_0049c_ywLuXdkW1vJcDQz95r9u9mjG/f800/520c1638.webp?s=bf010956cea62b131ccd903f365a50096669a7e1|https://images1.vinted.net/t/02_02367_W3ojksL3rPFfWAeqi4PMZD3V/f800/cf2463a1.webp?s=b22b1b7c70fb265a71724a3e0f9d170229423e01|,"frequently uploads means ""Regularly lists 5 or more items."""
L023,Vinted,https://www.vinted.com/items/9947138185-brooks-tennis-shoes-womens-size-10-wide-hot-pink-amd-gray?referrer=catalog,2026-09-09,Brooks Tennis Shoes - Women's size 10 WIDE - Hot Pink amd Gray,"BrandBrooks
Size
10
Condition
Satisfactory
Color
Pink, Gray
Uploaded
9 min ago
These shoes have been worn a bit and I tried to get pictures of the imperfections, but there is still a lot of wear left in them.

They are a women's size 10 wide.",,,13.30,Satisfactory,"Frequent Uploads
Speedy Shipping",https://images1.vinted.net/t/05_003ec_QzvV9si1a5DeByBPp49cunzt/f800/18db333a.webp?s=c558035663f1061895b3f234a70148eb1bc94e43|https://images1.vinted.net/t/05_01dc3_uiqESqmMuznDpTThhcWtUysg/f800/c916b367.webp?s=db432c51ef248da0323f259ba31d3bc04ae89d1b|https://images1.vinted.net/t/02_0217a_A9oo3nRwFmJ5eq42BK7VFfrY/f800/a6f95ed2.webp?s=d3df40618243accfc4e95b0856c8d5542566aa62|https://images1.vinted.net/t/06_02342_o7jsJQZZJuLqVMnqxe5gLsBm/f800/6df97bda.webp?s=de47b69b77348a4511513db7935d4d60a907641d|https://images1.vinted.net/t/01_01592_NWJBJydBWH92F35Su6YHPRq5/f800/781281f5.webp?s=1eedc71b63890ea47b43cd34a1203513524168eb|https://images1.vinted.net/t/05_0077d_pSzm6tXVKeR2uqKbXUpiPMCY/f800/2bc86931.webp?s=3964dbc5ea35b4ea706694e1a54b39c26d42ddea|https://images1.vinted.net/t/01_02108_yLAJBGrbCUWnutwyY3eu4bfj/f800/b04326b5.webp?s=974a08db5330a51e2aa2d341b76b5a4e09a34d41|,"""Satisfactory: A well-used item that shows clear signs of wear and imperfections, but still works as intended"" -- vinted's own description and its other condition definitions are:


New: A brand-new, unused, and unopened item in its original condition, with all its original packaging and accessories

Like new: A brand-new, unused item in its original condition, either opened or without its original packaging

Very good: A gently-used item in excellent condition, with minor imperfections that don't affect its overall appearance or use

Good: A regularly-used item in good condition that shows wear, but still works well for its intended purpose

Satisfactory: A well-used item that shows clear signs of wear and imperfections, but still works as intended

Needs repair (only applicable for electronic devices): An item that no longer works as intended, with broken or missing parts

and ""speedy shipping"" status = ""Sends items promptly — usually within the next 24 hours."""
L024,Vinted,https://www.vinted.com/items/9946964377-burgundy-suede-size-7-boots?referrer=catalog,2026-09-09,Burgundy suede size 7 boots,"Size
7
Condition
Very good
Material
Suede
Color
Burgundy, Brown
Uploaded
28 min ago
These beautiful slightly worn 3"" heel, like new Burgundy boots feel good on. Man made material in women's size 7.",,,21.70,Very Good,,https://images1.vinted.net/t/01_006fb_1zZRAHtLxmWQtNVgvXU45ytd/f800/996ca588.webp?s=b2d61b14acbb0df0537caea2b93a8af06f773e75|https://images1.vinted.net/t/02_01736_QE5pJ51Yuztra7ZgEGBW4Tt9/f800/d572bfcd.webp?s=1034adda109b2210f555c2e567d9093ccdedc700|https://images1.vinted.net/t/02_00d95_3A27XTDTZJDet96dGX3hULbn/f800/2e6314b6.webp?s=085c18d0487aaf626eff056fc83c7d2df1351f3c|https://images1.vinted.net/t/06_01e8a_zCKDwVJkc7M9Ziy8w2uP6k1n/f800/d2f4b299.webp?s=bee6c6f6e6e8a14be5e841bf22deaaf705f616b8|https://images1.vinted.net/t/05_00886_oAFQpqepH6pWkZQAxvj1WJQU/f800/c3d931a6.webp?s=24650165f27aefe28789506cd31ee65652f134e3|https://images1.vinted.net/t/01_0140e_Znie1jYMFNmyLmx7Q6Exuok6/f800/64c34ea9.webp?s=ac2b9fa394a10dbae3590230d6a37a8c94d2ab13|https://images1.vinted.net/t/02_01446_YUtegzspjtSZszhJGe8UvUqo/f800/8ed8632c.webp?s=74963d049c4439dff99d2268595b5b082ba5d792|https://images1.vinted.net/t/04_0061c_PGzf1vQPed84dre6vHCE75RN/f800/3dbccb19.webp?s=8e1b97c40e38fcc8db1149ebccd7bc3c173ff768|https://images1.vinted.net/t/04_00c84_vR8va5x5Pdz76Rhn5VrrBK4h/f800/8f20fab7.webp?s=909fa9de0ea34c3223f08af133932a49fe316e38|,lots of blurry photos here that you wouldn't find on threadup or the realreal because they are listed professionally versus peer-to-peer has the risk of blurry photography
L025,eBay,https://www.ebay.com/itm/820107625506?itmmeta=01M23XSMETFBAS3M51NT6BXZ36&hash=itembef2394422:g:AcYAAeSwyBRqob5V&itmprp=enc%3AAQALAAAAwDKQclQvzFwZQpmMrsO4LurTBnlgCXoFMG28XIWXaVJBMaaRpVmkHE7e%2FHX29RL4iYFcbvIzhOzqgW1SD75XNzFwAZgRbShEctpqwiIRxJFtaNOY%2FJEE%2BiVj7X98Tv6IdCy0S26PTQ5Z%2BhbRYhQJj7Ju%2F86xz0Ecs%2FnzZPf%2FYt4aBmUCIV7yqJB6xnaOeJEc0v%2FPSlFmimcyQnrrtGBaMVHQdUDfbA8OWjl1DI87SD83A%2FCKDrApz8kgAU85RPTAug%3D%3D%7Ctkp%3ABk9SR9bH5v2QaA,2026-09-09,THE ROW Park Leather Loafers Pumps EU36.5,"Condition
Pre-owned - Excellent: This item has been previously worn; however, it is in excellent condition. ... Read moreabout the condition
Type
Flat
Brand
THE ROW
Department
Women
US Shoe Size
6.5
EU Shoe Size
36.5
Color
Black
Style
Loafer
Upper Material
Leather
Country of Origin
Italy

Size: EU36.5

Only worn once.

Please look at all the photos for details.",,,800.00,Pre-owned - Excellent,,https://i.ebayimg.com/images/g/~Z8AAeSwG~Zqob52/s-l1600.webp|https://i.ebayimg.com/images/g/-xgAAeSwzf9qob5B/s-l1600.webp|https://i.ebayimg.com/images/g/BUUAAeSwHkNqob5q/s-l1600.webp|https://i.ebayimg.com/images/g/~Z8AAeSwG~Zqob52/s-l1600.webp|https://i.ebayimg.com/images/g/~skAAeSwKCpqob5D/s-l1600.webp|https://i.ebayimg.com/images/g/AcYAAeSwyBRqob5V/s-l1600.webp,"Pre-owned - Excellent = This item has been previously worn; however, it is in excellent condition. Any signs of use should be shown and described in the seller’s listing.

this is also an authenticated item --> Shop with confidence
Authenticity Guarantee
Your purchase is carefully inspected for authenticity and condition, backed by eBay Money Back Guarantee. "
